symbol,name,sector,industry,marketCap,marketCap_str
DEO,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,62130958336.0,62.131B
SNDL,SNDL Inc.,Consumer Defensive,Beverages - Wineries & Distilleries,689698048.0,0.69B
MGPI,"MGP Ingredients, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,629625152.0,0.63B
EPSM,Epsium Enterprise Limited,Consumer Defensive,Beverages - Wineries & Distilleries,334068704.0,0.334B
CASK,"Heritage Distilling Holding Company, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,89067232.0,0.089B
BLNE,"Beeline Holdings, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,30984116.0,0.031B
WVVIP,"Willamette Valley Vineyards, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,24503014.0,0.025B
WVVI,"Willamette Valley Vineyards, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,23035418.0,0.023B
YHC,LQR House Inc.,Consumer Defensive,Beverages - Wineries & Distilleries,9012342.0,0.009B
IBG,Innovation Beverage Group Limited,Consumer Defensive,Beverages - Wineries & Distilleries,5268903.0,0.005B
